predicted,real,dag
6474.209256492748,6528.77342099826,6505.563888060896
16203.150598838622,16206.578875304504,16395.55246093611
11146.087191520124,8639.009483008875,12097.791350445194
9165.222966190453,9267.443421607673,8917.362028308198
4200.085904249225,4030.877868180742,3741.7504067733735
4199.79988100732,4064.288395908922,3609.6388148864926
2757.6175424016137,5838.821338045784,3220.2659570795386
13743.525165012532,13892.109401087619,14331.447783293626
9198.432564432538,8571.572682204609,8741.044612531723
10759.395528719093,10838.080012550394,10509.638426883688
1843.9826540758124,2636.165253922799,2144.4169458559
17033.28999687926,16877.31076669033,16593.157790771143
12999.248071394286,12970.09118684479,15378.217238351972
4816.567729344546,5538.028895857233,4972.976774072639
4494.388673179299,4498.687594210325,4141.21205848092
4511.701102978488,4400.54422716678,4769.547213442857
5734.336891180445,5669.382959741895,5350.409531687361
8209.8030657851,6441.832385992651,7750.53186810407
7109.845538272975,7191.053121831046,7720.819116413046
5601.546038130597,5790.258871218981,5038.513863041999
9344.812141791961,6862.6351000456025,9307.672620884752
3998.6549232836137,3919.0062472103214,3932.506572521587
5610.84817289606,5425.602951837873,5726.698270948276
6386.067400027456,6387.139009319,5476.675419571545
7386.533798494682,7297.992384189326,7512.393714208918
12073.08185405302,9468.700760722744,12572.167631716671
4685.854080638271,4681.635184749296,4011.72293480113
8079.9988773482655,5500.551592463269,8222.418155554582
9081.26662071774,9185.914466849228,9167.042201991204
2518.916470827805,2610.203010272549,3273.658249586594
9285.844372101492,9338.766704338923,9429.132590543844
4368.267293448041,4382.577167077944,4432.13079849035
2889.2001348690483,3023.3211331047432,1750.2265128767908
16133.35024169501,16007.957645854953,20186.856661255646
16829.411675147436,16865.768852422734,16398.772976022603
12513.760912451758,12320.3960440229,12031.982738103308
5738.146245428363,5628.744555507538,5921.15301884472
3427.58057174524,3297.3271433472364,3246.556202039001
10389.493262829785,10344.18740135,8959.309070037263
7203.305286865416,3578.514728325348,6548.869611185615
3772.4387095298425,3617.8281180260783,3969.1758748939933
7848.425871828233,11621.819405638043,8603.369898882338
2237.1219668924846,2301.1155853061564,2844.0838276621816
14849.87549743152,14960.277120630444,14527.315041211243
5275.637352265632,5172.378268625813,5889.30683080016
10064.59704760495,10223.48335078628,9190.773816719215
5811.113142890761,7142.12771562344,6087.526103632757
8151.7890040103375,8091.472833855402,8582.546329613902
8485.34658393529,8882.456843887867,8272.328666060344
4527.527588032763,5087.27867974801,5036.613336202127
17017.300488003086,16850.956474001105,17419.853394682654
11889.904490890753,12049.326166301584,12346.944943441591
15793.272103822892,15596.950924469544,16188.795332319092
14453.559700139853,14518.960407783075,13964.397351620151
9154.989340818627,9019.312561385626,5067.856108679963
15219.645802271727,15296.403881348804,15669.707769322533
3286.6139049132616,3176.3216286974857,4020.992786146123
4646.986397045449,4384.235484542249,4543.877441002089
2492.1582773212863,2590.754839368496,2320.8228226912024
5952.193115943501,6091.882480141172,6456.942174818861
6627.943585004343,6655.267026338532,7207.179870593451
5401.013452772297,5348.09977399607,5395.433757474878
12922.26882588349,12819.864683235122,12971.797708207225
6283.234639969774,5214.2118866373785,6826.020495831394
5497.356933426199,5759.634185420725,5114.423949853805
8434.473826227691,8437.110919332883,8695.984457945164
4016.546706861068,4013.553784388613,3218.7920591066486
12393.59591334753,12482.576759452131,12594.56504480665
3057.69798508344,2867.4243716560213,3379.5580443737963
18041.538602793335,17912.382874556155,17204.236164077134
11837.990138407838,16377.275908433712,12324.629716909014
4675.799450958299,3377.3864535127427,4546.44159802519
1196.107590531888,1367.435015566978,2537.8533226834643
12653.059672424104,12839.721600041572,15186.84152501352
10740.182133293765,14270.276687967365,10323.682849992434
11096.887996435673,11050.927087876444,11213.696495907283
11820.548698454102,11454.392708766658,12389.444837586732
3049.0033718428913,3071.7238768262314,3041.6284761337506
6301.504666540917,8261.802633290648,6270.165308535044
3688.6533165789806,3527.523914087288,3307.4712328470523
13672.10556888084,13868.127108922545,13821.315870996903
9503.081504415723,9510.413365361217,9669.819034610042
6010.2777822216885,6491.815017730098,4758.983577458729
2861.619198261772,2942.6128318566157,3230.2183264512323
5803.603594638222,5721.040332344019,6266.826134078833
5950.662709324099,6570.88949868246,6420.541536031737
11106.733286574823,11933.214391687765,11497.876400272895
9703.668632537114,9704.275150411993,10393.819347104134
14256.2840602599,14406.247991037666,14310.138344661222
7575.140467992009,7870.93313742811,7806.118909693497
3739.505375992757,3415.4956896958283,4131.002753961991
10841.621336870048,10679.214112806396,11020.202648987737
11635.170457232407,11449.547366751103,12196.791671919791
8671.874836897221,8688.932690780252,8452.838026489451
11815.129820009915,11851.46312423752,15717.767658919078
7831.812457748043,7646.751733247729,7999.998094670194
8184.728212784663,7905.109495607188,7872.8493725084245
7059.974801797169,7068.87210581909,6854.667921033642
1993.4953537906815,1709.3163812875246,1402.3238455416604
3576.9258552429346,3411.0648412404416,8439.033300038964
